Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Helton, Todd",1B,65,78,55,38,84,66,61,71,17,0.75,5870,2007,COL,NA,NA,NA,Todd Helton,432,Rockies
"Scutaro, Marco",NA,51,46,51,53,58,51,41,56,23,0.68,NA,2004,OAK,NA,29,121,Marco Scutaro,1555,Athletics
"Machado, Andy",NA,60,50,67,81,57,48,61,54,4,0.53,NA,2004,CIN,NA,23,17,Andy Machado,1853,Reds
"Ausmus, Brad",C,61,79,52,44,79,70,37,56,18,0.67,5095,2007,HOU,NA,NA,NA,Brad Ausmus,546,Astros
N Green,NA,56,59,59,59,53,59,41,58,5,0.84,NA,2005,TBA,NA,NA,NA,Nick Green,1502,Devil Rays
"Howard, Ryan",1B,23,37,22,22,25,10,27,0,30,0.6,7437,2007,PHI,NA,NA,NA,Ryan Howard,2154,Phillies
P Borders,NA,38,43,28,20,55,55,22,49,13,0.49,NA,2005,SEA,NA,NA,NA,Pat Borders,1068,Mariners
"Kendall, Jason",NA,66,78,73,71,64,60,50,54,5,0.78,NA,2004,PIT,NA,30,140,Jason Kendall,993,Pirates
"Lopez, Felipe",SS,34,34,41,61,13,15,53,10,44,0.62,6415,2006,WAS,NA,NA,NA,Felipe Lopez,1311,- - -
"Rodriguez, Ivan",C,82,83,78,62,79,98,92,94,58,0.82,4680,2006,DET,NA,NA,NA,Ivan Rodriguez,1275,Tigers
"Durham, Ray",2B,34,37,41,46,13,37,28,40,36,0.66,5323,2008,SFN,33,NA,NA,Ray Durham,230,- - -
"Anderson, Marlon",NA,33,22,44,57,23,24,32,22,10,0.69,NA,2004,SLN,NA,30,47,Marlon Anderson,947,Cardinals
"Kennedy, Adam",2B,50,47,52,51,49,54,45,49,35,0.76,6318,2007,SLN,NA,NA,NA,Adam Kennedy,19,Cardinals
"Hall, Toby",C,42,38,24,19,60,56,54,59,6,0.58,6599,2006,TBA,NA,NA,NA,Toby Hall,1210,- - -
A Rowand,NA,77,85,87,69,79,69,70,61,28,0.79,NA,2005,CHA,NA,NA,NA,Aaron Rowand,254,White Sox
