"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2002","Barry Bonds","Giants","143","612","46","117","110","9","32.4 %","7.7 %",".429",".330",".370",".582",".799",".544","244","-1.2","108.9","-2.0","12.7","1109"
"2001","Barry Bonds","Giants","153","664","73","129","137","13","26.7 %","14.0 %",".536",".266",".328",".515",".863",".537","235","1.3","118.0","-12.0","12.5","1109"
"2004","Barry Bonds","Giants","147","617","45","129","101","6","37.6 %","6.6 %",".450",".310",".362",".609",".812",".537","233","-0.3","105.7","-4.4","11.9","1109"
"2003","Barry Bonds","Giants","130","550","45","111","90","7","26.9 %","10.5 %",".408",".304",".341",".529",".749",".503","212","0.7","80.0","5.6","10.2","1109"
"2002","Alex Rodriguez","Rangers","162","725","57","125","142","9","12.0 %","16.8 %",".324",".290",".300",".392",".623",".424","158","4.7","56.1","19.6","10.0","1274"
"2001","Sammy Sosa","Cubs","160","711","64","146","160","0","16.3 %","21.5 %",".409",".336",".328",".437",".737",".465","186","-0.9","78.8","-1.1","9.9","302"
"2004","Adrian Beltre","Dodgers","156","657","48","104","121","7","8.1 %","13.2 %",".294",".325",".334",".388",".629",".423","161","-2.2","49.5","27.8","9.7","639"
"2007","Alex Rodriguez","Yankees","158","708","54","143","156","24","13.4 %","16.9 %",".331",".309",".314",".422",".645",".445","175","7.7","74.2","-0.5","9.6","1274"
"2003","Albert Pujols","Cardinals","157","685","43","137","124","5","11.5 %","9.5 %",".308",".346",".359",".439",".667",".461","184","5.6","79.8","-5.4","9.5","1177"
"2000","Alex Rodriguez","Mariners","148","672","41","134","132","15","14.9 %","18.0 %",".291",".333",".316",".420",".606",".431","158","1.3","54.4","22.6","9.5","1274"
"2001","Jason Giambi","Athletics","154","671","38","109","120","2","19.2 %","12.4 %",".317",".343",".342",".477",".660",".465","193","0.3","79.1","-7.9","9.2","818"
"2003","Alex Rodriguez","Rangers","161","715","47","124","118","17","12.2 %","17.6 %",".301",".305",".298",".396",".600",".416","151","4.3","50.3","18.2","9.2","1274"
"2005","Alex Rodriguez","Yankees","162","715","48","124","130","21","12.7 %","19.4 %",".289",".347",".321",".421",".610",".436","174","2.2","66.6","-0.2","9.1","1274"
"2004","Scott Rolen","Cardinals","142","593","34","109","124","4","12.1 %","15.5 %",".284",".323",".314",".409",".598",".422","159","4.4","49.3","23.4","9.0","970"
"2001","Luis Gonzalez","Diamondbacks","162","728","57","128","142","1","13.7 %","11.4 %",".363",".297",".325",".429",".688",".454","173","-0.3","69.5","-2.3","8.9","55"
"2008","Albert Pujols","Cardinals","148","641","37","100","116","7","16.2 %","8.4 %",".296",".340",".357",".462",".653",".459","184","-0.2","67.7","-1.0","8.7","1177"
"2000","Darin Erstad","Angels","157","747","25","121","100","28","8.6 %","11.0 %",".186",".375",".355",".409",".541",".408","140","2.0","42.2","22.2","8.7","11"
"2009","Ben Zobrist","Rays","152","599","27","91","91","17","15.2 %","17.4 %",".246",".326",".297",".405",".543",".407","152","4.6","43.7","22.3","8.6","7435"
"2004","J.D. Drew","Braves","145","645","31","118","93","12","18.3 %","18.0 %",".264",".340",".305",".436",".569",".429","162","5.5","56.9","10.2","8.6","1152"
"2009","Albert Pujols","Cardinals","160","700","47","124","135","16","16.4 %","9.1 %",".331",".299",".327",".443",".658",".447","180","1.6","70.5","-8.8","8.4","1177"
"2007","David Wright","Mets","160","711","30","113","107","34","13.2 %","16.2 %",".222",".356",".325",".416",".546",".413","151","6.4","53.4","8.7","8.4","3787"
